"Id","SalePrice"
1461,124010.248264101
1462,159802.341732059
1463,181533.503536451
1464,193688.922256699
1465,195424.717500229
1466,171823.837229024
1467,154588.567488094
1468,165313.310233414
1469,204180.976437243
1470,133634.522448342
1471,226549.72170435
1472,160578.100050811
1473,161112.597267651
1474,169911.54266667
1475,117629.933553346
1476,251011.114905966
1477,218769.778961798
1478,277376.599105708
1479,242175.581728966
1480,387914.320148141
1481,281852.105121747
1482,229223.713391439
1483,192416.058520276
1484,195847.724811175
1485,224468.376857284
1486,226267.900137868
1487,246203.83284114
1488,234883.91955151
1489,192971.888070622
1490,234240.377709453
1491,222574.178028761
1492,106843.621020179
1493,208868.787028564
1494,282406.49788971
1495,263297.802380027
1496,236962.117500265
1497,207844.321896593
1498,210750.566085749
1499,198247.894668193
1500,217873.277526977
1501,298322.138251019
1502,202815.195054742
1503,232982.243920665
1504,236434.135449768
1505,225632.401180567
1506,143227.235628672
1507,216968.804939583
1508,182242.154669026
1509,139006.878864235
1510,146259.279784996
1511,152836.11857491
1512,180173.220928657
1513,127964.940019901
1514,140477.225149378
1515,224810.939295272
1516,176777.496025326
1517,210031.533776089
1518,118141.626786871
1519,257737.929959561
1520,144563.571812455
1521,142037.742853141
1522,199544.755980493
1523,121922.053534608
1524,114059.967587701
1525,122030.54033645
1526,123584.316453589
1527,108217.678569646
1528,123281.040431467
1529,122344.537558108
1530,199625.132962984
1531,238550.474948813
1532,136588.222773373
1533,135040.556283982
1534,132159.024257475
1535,165324.545787374
1536,111537.6468385
1537,133662.748910031
1538,172766.265237296
1539,195441.259418894
1540,134303.453737331
1541,133536.83739063
1542,130093.298703338
1543,173081.598082844
1544,124783.385831165
1545,119833.442289195
1546,152002.946070939
1547,198053.347860896
1548,123567.960268349
1549,129035.899523865
1550,142292.212103533
1551,144828.785927247
1552,148689.489690587
1553,185558.494974379
1554,116436.55286236
1555,176365.529163249
1556,119515.435380783
1557,126732.25804157
1558,123752.009789262
1559,122183.153128302
1560,153930.104213604
1561,127549.085955555
1562,135250.335830237
1563,118211.827638259
1564,185045.45294371
1565,168687.354886072
1566,247650.416729316
1567,114118.844542509
1568,237103.671449692
1569,161055.470732133
1570,151825.868853023
1571,126623.769811831
1572,139411.470351283
1573,281975.306335906
1574,112225.417056743
1575,279598.001438409
1576,254251.632600914
1577,199623.971588968
1578,137112.609203535
1579,147738.897750709
1580,174847.93909072
1581,161515.114140399
1582,115973.703236795
1583,270042.159264673
1584,234328.796105356
1585,217966.47413614
1586,110824.012507178
1587,114471.708658175
1588,168996.39317667
1589,117079.091672489
1590,133505.499394403
1591,102059.647003696
1592,150033.885914851
1593,125202.848085717
1594,147438.729641605
1595,145029.853756417
1596,248461.8990806
1597,173904.625302144
1598,179071.005289359
1599,236297.962301431
1600,198472.798757828
